港|0.2437498369005135 -0.07312725760296572 -0.05742997921666802 0.46401156033851126 -0.03171270137448783 -0.3437572291189448 -0.14424027624254815 0.2113935576648166 0.18704263354087822 0.16832519508755797 0.1354109986023195 0.1974162215449203 0.0026288212248248262 0.22192391623155222 -0.13616211571878203 0.3206736532562617 0.35737607013867667 -0.15755821587047159 -0.2822878119469701 -0.09209312299094509
旅客|-0.09887463049197641 -0.07903217575220108 -0.053455927384990824 -0.09620929274449663 -0.037412004244900265 -0.2961919271106021 -0.255787184759442 0.5544369809623172 -0.04690747884647489 0.12213952260970107 -0.09492702165970707 -0.06200554129274969 0.3308782228730007 0.16712352305682143 -0.38288775028832106 0.18027556604079847 -0.23423045001967635 0.2702150904043891 0.1869436084208151 -0.024331069172238314
商务|-0.10357912585314943 -0.19245761284905205 -0.08619791783762194 -0.2721918182466866 0.1248152855512779 -0.23357440242495187 -0.18283095282569234 -0.23989466186999844 0.23196332927950217 0.3233466366549865 0.08791407534173894 0.47688823395277763 -0.43319168020845866 0.12759103335497946 0.2766048220317813 0.06590424645233554 -0.07738563954477613 -0.010827981187497499 -0.1490530007262218 0.05457577975083939
违章|0.15262832800873105 0.20412719217546182 0.27867728396626257 0.25479790634217003 0.0024815963368002344 0.13544655755236945 0.1933191961483105 -0.2234860578889832 -0.17453295448210246 -0.27121972517609133 -0.1137475511614864 -0.3255357653892798 0.049389655115839794 -0.3447381264587219 0.07082556355900427 -0.4677227133339258 0.32423759601120056 -0.08830737836585767 0.05087371201184034 -0.057171974027213905
期限内|-0.013060241043448793 -0.0837994227387129 -0.2673416592917149 0.2189718469118132 0.010784171266966536 0.29046378232800263 0.2572359472062868 -0.24738090189991316 -0.15425066905043414 0.0007118791418700329 -0.18835989307359577 0.4500676339493053 -0.48762687577733227 0.07552612446836313 0.04414835204541105 0.18189848858641394 -0.20659775805366845 -0.24295856003244046 -0.11422653772886664 0.08012555023504248
铁路|-0.0017523655500607499 0.15254758117514733 0.2435384212273418 -0.09146962025710557 -0.05088821725957219 -0.34138867546445606 -0.15568434896428868 0.09110665279920539 0.3101591888553119 0.007071121947028895 0.3099663479178858 -0.35111942145642966 0.2937242254989899 -0.038574499658156715 -0.12694762207014 -0.19323665817046415 0.3868239469291282 0.3722487995143973 -0.016667634724859676 0.1098369847285862
儿童票|-0.4797926192488205 0.048653471213768194 0.3208899183922045 -0.24733780360012333 0.21976933635300558 -0.1954785435807833 -0.24851795436052396 0.16038952769865555 0.274593877437219 0.20989471922970146 -0.02912559667851652 0.1324482194897309 -0.27319882386711497 0.10932268294769015 -0.17451490781714704 -0.2132944496263744 0.3169008979328415 0.14827154831733977 0.03148819400008956 -0.07415912562405379
负责|0.5502397704393794 -0.06459135910124929 0.25934914434779904 0.1316674710599265 -0.08311060950923006 -0.3084494141960899 0.0018848380147248331 -0.3550606136762325 -0.06317973063170537 0.0865660000978566 0.09388803540996583 -0.24166240501467562 0.19471196152864134 -0.17080968169454516 0.30670113638646934 -0.3100061506329448 0.0946055708273438 -0.0324899332330404 -0.12062192098290005 -0.1408234989722286
单独|-0.17595265464182186 0.13962791637579275 0.01672421209970549 0.195528440833051 -0.1256369412880405 -0.0816920781347003 0.01638137462105665 0.02943198874275263 0.4825339637650331 -0.050734833105987726 0.14391291353525099 0.2280037764700349 -0.4765153916317923 0.2975852069326414 -0.4155153959147568 0.12055450604237923 0.24792031471559814 0.05054859429969131 -0.10108741754688391 -0.04777547200264581
调整|-0.05252598332186779 -0.1152522181188719 0.2380732022206446 -0.1967774845717811 0.3452022620401769 -0.3189181474869614 -0.2865412694925531 -0.08747915926789201 -0.06821960206564125 0.4350170353044356 -0.00804102016031787 0.10563625643064539 0.12875242915511936 -0.1791889037369052 0.3692322695576276 -0.16107476128587983 0.34232911233579844 0.03050462057912327 -0.19752215686354083 0.06863136447674945
做些|0.13704838237123673 0.06072385924622571 0.06969225960535391 0.37639466671665633 -0.05510459691439899 0.20247906230786303 0.29506565994930334 -0.37595798870171193 -0.2090090463075234 -0.2525148900087985 -0.18857865797504456 0.12307416456526427 -0.43717396427839816 -0.1936638369363968 0.06047760907127493 -0.2992851446328694 0.04013566842725635 -0.2618024615563594 0.008432589697104894 -0.09122412486550606
售票|0.12281869431982646 0.01699027037349565 0.28326993084732616 0.05725440882731712 -0.001762942229388601 -0.46714124317796035 -0.13535874320893126 -0.1237331961030166 0.32522860109238333 0.04423058281249036 0.27768553286933084 -0.11860960064263575 -0.09976820319789606 -0.0269348552501392 0.1268376941915062 -0.41126515837340666 0.47036702948798625 0.16445472932259209 -0.0738586464134203 0.02630482418405287
提取|-0.322351380748138 0.02969073191214417 0.09842908330691844 -0.16828262255702758 0.3218148411934577 -0.12506412117733914 -0.29562557071056145 -0.09196957127004891 0.13706465019624173 0.34454015566912144 -0.16213999790314498 0.4629525967924449 -0.32770425860486274 -0.08603707787667562 0.07808345388732642 0.07881601929895544 0.2924202434260504 -0.1073191024037939 -0.1950973873286485 -0.04291227287603769
两地|-0.08576533174408169 -0.05161209297858537 0.025875445414234456 0.08760045802379865 0.02687362072755256 -0.29415912811342404 -0.1000580204101214 -0.08040404733131111 0.4650373418805851 0.1667310931838927 0.1923890127244725 0.3343372578872133 -0.5178946423026161 0.27494443988979 -0.007982736580606617 -0.04861464308790218 0.3240392081185349 0.026988864619521897 -0.1774712872115967 0.039908886584435505
优惠|0.14748333764627822 -0.0013660580750549588 0.23844694765636407 0.34515348183518835 0.1492427146065821 0.10923287101193598 0.22840568559210608 -0.41582053163410376 -0.2514309820958544 0.08469058956841732 -0.15196384658171855 0.12480156015181165 -0.255852497730395 -0.1916680475053389 0.21093467958059595 -0.25398851779355924 0.3128802347416501 -0.26164612869372234 -0.23484677673653043 -0.03482639618306359
残疾|-0.035508361436326345 0.02287949583963416 0.2757706001083519 0.1870217327864649 0.28437744771662266 0.01623814525290271 -0.04532916978357339 -0.2758635912838989 -0.21182552882732092 0.20339855549479716 -0.2657282193696383 0.27317735519799663 -0.25228667328455096 -0.2591298350926585 0.18387760595992259 -0.16039637073848345 0.36107071771253585 -0.3186860180263102 -0.21734788331369864 -0.16405284645189952
票款|0.11910286492961202 0.043762907370488935 0.40518148465395704 0.10333705840067256 0.05374289144775675 -0.31627979929921773 -0.06417121983397188 -0.4643863448922762 0.09278824874803054 0.21653044371330415 0.21596349830397996 0.10169249003084732 -0.15036629971312676 -0.19060967886397395 0.10794566602847473 -0.18115386141153708 0.407171505062058 0.01784945932931871 -0.3144226845784974 -0.07415044215366946
后|-0.07063007054084264 -0.08142400608123376 -0.09119557114270704 -0.024772203063587087 0.0763008301127316 0.33749939430386766 0.08232462333702031 0.16072887400801011 0.3256268008249859 -0.04086243436813622 0.37156845925735715 -0.11877058775920293 0.03875830998393097 0.3553196878727412 0.32408441463604715 0.24522566614485417 0.3304883866639609 -0.36371727933892684 -0.16867382120535498 -0.06600015198144493
专用|0.1345770590145053 -0.0585006119585357 0.11055061058184264 0.20622786532349074 -0.025943894910501863 -0.5159084480815872 -0.03878516665154958 -0.32932947178912736 0.1322600132568929 0.2124202251206391 0.06311960923698268 0.34647484773912635 -0.4303864270902643 -0.022016776982114565 -0.057509637598754756 -0.20306031172027764 0.16979991064874345 0.21272483357155136 -0.1860292565894403 0.1460333530596556
实行|-0.16939796516459033 -0.051010963284755136 0.4001471188491677 -0.10843606208661942 0.20288364961539126 -0.26820677674697513 -0.2600453046519286 -0.17552169315673002 0.14537274551370977 0.2959066813773469 -0.054960099698395236 0.27960705682296966 -0.38299822664918265 -0.01142782329610813 0.0911417796303515 -0.237799513599556 0.26051516621411525 -0.12642471320561025 -0.11426294990149005 -0.29465618954531486
品名|0.16089936934403967 0.024745608466201947 0.2406586520244678 0.3004627186990382 0.1431744495696427 -0.3236284510926399 -0.024004361511947143 -0.34152320347645854 -0.026723539043019762 0.21677270634989704 0.02995923973567284 0.18858526043785834 -0.16658003563367904 -0.22418853877439746 0.12878429075530384 -0.18870376398121913 0.5081098383089273 -0.017278632005489472 -0.3195677370033039 0.08881379091677016
损失赔偿|0.06760562887804653 0.015116381047408211 0.38645445761071257 0.22537941500476638 0.21127061422795568 -0.22024832391779112 -0.09452196478414489 -0.2361939750711257 -0.03889319775424455 0.23492106828962864 -0.19027201537536492 0.168480692152484 -0.2634131532049916 -0.14991876749860736 0.10796725546562871 -0.3246277916101961 0.4465904332362347 -0.18077485390006628 -0.1946791189975016 -0.19229378777775735
旅行|-0.060227744948179965 -0.06689324249966982 0.1702674923750958 0.04242854915198242 0.0969324263209991 -0.4090674603219518 -0.1450174687017435 -0.15004208840093794 0.3518820855665099 0.220800421031352 0.18980759830712718 0.25072003349206207 -0.41648502332672815 0.12077670283631266 0.10600535559474118 -0.24631268141173235 0.40675644682542306 0.09813743370084267 -0.17042847934310956 0.07272660473054109
中途下车|-0.0015939975870851908 -0.017089257665247812 0.22099222522716358 0.18236892193124982 0.13880606092053263 -0.4245724187812769 -0.18984357965471257 -0.17348792750055003 0.1740474526211215 0.2856491909940139 -0.060045683094296955 0.37944156105112037 -0.41422077747410957 -0.013989713924993919 -0.03216311650732749 -0.13835544137299202 0.3805259886876362 -0.027006576535870404 -0.22206747307086622 -0.07535223319050544
放行|0.06453608116912692 -0.041696048991736075 0.21632752365951116 0.25170706575053736 0.11344811219932366 -0.39993351324835674 -0.13328469487604347 -0.12566712403785124 0.25156154052234087 0.2619000374451153 0.06003370355771963 0.2722769339353002 -0.3565571413818762 0.09307064978808226 0.024496706193055613 -0.14727979178792913 0.48710903082611345 -0.05094016659936561 -0.25925513102769554 -0.05276981614711213
逾期|0.04030339673230917 -0.046796760541368033 0.23590672855384665 0.25274047988704496 0.15458127867132934 -0.4026003747195665 -0.1418972943546059 -0.1349498329820719 0.15437530025466767 0.3079253394796782 -0.035963299545738354 0.3211849163680056 -0.35958049923768787 0.041036250485024586 0.00045961855116945997 -0.15362691671672113 0.45126601446188447 -0.047394867218703896 -0.2568375375124425 -0.052801649791843513
联程|0.02837326309524841 -0.06100712414716941 0.2527058612621399 0.18700246583160543 0.14971315162935964 -0.43342865513783435 -0.18669577541041527 -0.14814926002372086 0.1766032527016553 0.30799844590691533 0.014294787397798842 0.317262518662354 -0.34968669694133103 0.02697682665302828 0.042241245534326594 -0.16136862298065555 0.42962090283916093 -0.044108566138043 -0.24312317492011365 -0.0786900174502124
牡丹|0.047160596199930585 -0.05435771331102843 0.24023031936754857 0.22429143647053784 0.14696731832839208 -0.42698568012806826 -0.17325935094165068 -0.1393362469497496 0.1702102027954503 0.3068485862619415 -0.0010152741216844462 0.31760508321674924 -0.3427244585718662 0.031706773146816754 0.02553816380724751 -0.14521538662232455 0.443077158509076 -0.05187525736914257 -0.25494380549428936 -0.0724077592272956
通票|0.033241414400474706 -0.04540136416148798 0.2578197567302536 0.19866640368076166 0.1461157842937823 -0.4395386782149122 -0.18357733057718498 -0.13590750656306405 0.18901845219359387 0.3009597756139451 0.016208579641283246 0.29359977842694135 -0.33153726583140847 0.026177477879385215 0.024020374742655014 -0.16821499672958282 0.4552029466057048 -0.027703255452056014 -0.24352069671555535 -0.06823110673379558
物品|0.046346079512625364 -0.04946314780898714 0.2525811559563021 0.21159048829186888 0.14701235481657524 -0.43171211593730924 -0.1765912516296158 -0.1478952828280201 0.17401958737950632 0.30381820726450465 0.008350975491340016 0.30323848054180547 -0.33377847935965627 0.020795453050055878 0.032783500776138993 -0.15957190868185642 0.4496060079499087 -0.04331212871508569 -0.2522168977532919 -0.07188335868990932
造成|0.04433688634628106 -0.0453440108555222 0.2549427945596778 0.20931734017945033 0.146310625817332 -0.4236435686644376 -0.17054276049299086 -0.158394677555997 0.17790492095122237 0.2976803441127283 0.01374716292371637 0.2998554663353699 -0.3391282971146964 0.01720767022656079 0.038448975123182336 -0.16538394699184644 0.45454071244525257 -0.04472976136646844 -0.253243892958077 -0.06980982264168761
买|0.033339917354503514 -0.03652363129997894 0.261475969798362 0.19725443571880616 0.14522739713866908 -0.4138184679337606 -0.16412267366845318 -0.17283210647402195 0.18865968381001744 0.286580840328771 0.0234163502889975 0.292249783065757 -0.349227420671947 0.011003316668686501 0.04352262838044514 -0.1804214405987468 0.4615126219772335 -0.038762004758211545 -0.24952854103124433 -0.06453206542389289
允许|0.03385615447906233 -0.03104227158961007 0.2652263630840246 0.19914629268772585 0.1458141843318633 -0.3949264314646126 -0.1505855898356379 -0.19401191337747256 0.18464656566228657 0.27789193120078926 0.025736572303981624 0.2897154654205953 -0.3573874119964069 0.0013565658548024301 0.05503754303011613 -0.1873245474618062 0.4666068853275241 -0.04826903988767372 -0.253865994172329 -0.06385775993651512
情况|0.02491642961824929 -0.02149251936328603 0.26989845526348083 0.19099391508481028 0.1448708540297751 -0.37507724809126675 -0.13719084659673045 -0.215750447540146 0.1904232015725907 0.2633711271198654 0.0330225741471895 0.28351271750068613 -0.37125314559565975 -0.007612385986926834 0.06462902038692912 -0.20195633567514812 0.4723998842718442 -0.04931435293223645 -0.2520954823369415 -0.058840434318468075
军人|0.023191710331527605 -0.014451135064475052 0.2725891435602304 0.1908834863984281 0.14492338035644248 -0.35017749241700424 -0.12003511630643929 -0.2403834183096872 0.18647449675298397 0.2508788091882569 0.035459003521397414 0.28007084723439046 -0.38243080314093447 -0.018424363219674104 0.07774833652228945 -0.2108777187816128 0.4758914222308795 -0.05937015104342457 -0.25486423081078596 -0.056763711558084594
超过|0.01990556374620875 -0.006217858008008353 0.2735014414578584 0.1896986120092957 0.1434981674465391 -0.3238977918614778 -0.10213459945228132 -0.26462789452629976 0.18495897469937905 0.23552384120170225 0.0393099955511741 0.27608577982597104 -0.39506743166714425 -0.028594706886175696 0.08969972801794968 -0.2197510538573515 0.4785846128860649 -0.06821134324159477 -0.25607218543129373 -0.053518069227380144
