理解|-0.009108514980215296 -0.005520029036502646 0.0003569097125246391 -0.020188633124018862 0.02760402531173143 -0.0021565678418769144 0.009102427411227108 0.014397237733185127 0.002919016731367811 -0.00028750623317807687 -0.013056373633279529 -0.009592509794143902 0.011275705446393496 -0.006856088700008629 -0.0004016697244831306 -0.008559312110732752 -0.0041171147494117495 -0.01012299253627626 0.011861408526680911 -0.010814130564353139
可|-0.0091085149802153 -0.005520029036502649 0.0003569097125246393 -0.020188633124018876 0.027604025311731437 -0.0021565678418769135 0.0091024274112271 0.014397237733185134 0.002919016731367809 -0.00028750623317807676 -0.013056373633279536 -0.009592509794143896 0.011275705446393499 -0.0068560887000086255 -0.0004016697244831304 -0.008559312110732745 -0.004117114749411748 -0.010122992536276257 0.011861408526680918 -0.010814130564353146
按|-0.009108514980215296 -0.005520029036502646 0.00035690971252463926 -0.02018863312401887 0.027604025311731437 -0.0021565678418769144 0.009102427411227108 0.014397237733185127 0.002919016731367811 -0.00028750623317807687 -0.013056373633279533 -0.009592509794143899 0.011275705446393496 -0.006856088700008629 -0.0004016697244831304 -0.008559312110732749 -0.004117114749411748 -0.01012299253627626 0.011861408526680915 -0.010814130564353139
重新|-0.009108514980215292 -0.005520029036502646 0.0003569097125246393 -0.020188633124018862 0.02760402531173143 -0.0021565678418769144 0.009102427411227108 0.014397237733185134 0.002919016731367809 -0.000287506233178077 -0.013056373633279529 -0.009592509794143896 0.011275705446393496 -0.006856088700008629 -0.0004016697244831304 -0.008559312110732752 -0.0041171147494117495 -0.010122992536276257 0.011861408526680911 -0.010814130564353142
站台票|-0.009108514980215292 -0.005520029036502649 0.0003569097125246393 -0.020188633124018862 0.02760402531173143 -0.0021565678418769135 0.009102427411227108 0.014397237733185134 0.002919016731367809 -0.000287506233178077 -0.013056373633279529 -0.009592509794143896 0.011275705446393496 -0.0068560887000086255 -0.0004016697244831306 -0.008559312110732745 -0.0041171147494117495 -0.010122992536276253 0.011861408526680911 -0.010814130564353146
办理|-0.009108514980215296 -0.005520029036502646 0.0003569097125246392 -0.020188633124018862 0.02760402531173143 -0.0021565678418769144 0.009102427411227108 0.014397237733185127 0.002919016731367811 -0.00028750623317807687 -0.013056373633279533 -0.009592509794143899 0.011275705446393496 -0.006856088700008629 -0.0004016697244831305 -0.008559312110732749 -0.0041171147494117495 -0.01012299253627626 0.011861408526680915 -0.010814130564353142
有效期|-0.009108514980215292 -0.005520029036502646 0.0003569097125246393 -0.020188633124018862 0.02760402531173143 -0.0021565678418769135 0.009102427411227108 0.014397237733185134 0.002919016731367809 -0.000287506233178077 -0.013056373633279529 -0.009592509794143896 0.011275705446393496 -0.006856088700008627 -0.0004016697244831305 -0.008559312110732745 -0.0041171147494117495 -0.010122992536276257 0.011861408526680911 -0.010814130564353146
铁路|-0.009108514980215296 -0.005520029036502646 0.0003569097125246392 -0.020188633124018866 0.02760402531173143 -0.0021565678418769144 0.009102427411227106 0.014397237733185127 0.002919016731367811 -0.00028750623317807687 -0.013056373633279533 -0.009592509794143899 0.011275705446393499 -0.006856088700008629 -0.0004016697244831304 -0.008559312110732745 -0.004117114749411748 -0.01012299253627626 0.011861408526680915 -0.010814130564353142
身份证|-0.009108514980215292 -0.005520029036502647 0.0003569097125246393 -0.02018863312401887 0.027604025311731433 -0.0021565678418769135 0.009102427411227104 0.014397237733185134 0.002919016731367809 -0.00028750623317807687 -0.013056373633279533 -0.009592509794143896 0.011275705446393499 -0.006856088700008627 -0.0004016697244831305 -0.008559312110732745 -0.004117114749411748 -0.010122992536276257 0.011861408526680915 -0.010814130564353146
如何|-0.009108514980215296 -0.005520029036502646 0.0003569097125246392 -0.02018863312401887 0.027604025311731437 -0.0021565678418769144 0.009102427411227104 0.014397237733185127 0.002919016731367811 -0.00028750623317807687 -0.013056373633279533 -0.009592509794143899 0.011275705446393496 -0.006856088700008627 -0.0004016697244831305 -0.008559312110732749 -0.0041171147494117495 -0.01012299253627626 0.011861408526680915 -0.010814130564353142
身体|-0.0091085149802153 -0.005520029036502646 0.0003569097125246393 -0.02018863312401887 0.027604025311731437 -0.0021565678418769144 0.009102427411227104 0.014397237733185127 0.002919016731367811 -0.00028750623317807687 -0.013056373633279533 -0.009592509794143899 0.011275705446393499 -0.006856088700008629 -0.0004016697244831304 -0.008559312110732745 -0.004117114749411748 -0.01012299253627626 0.011861408526680915 -0.010814130564353142
安检|-0.009108514980215296 -0.005520029036502646 0.0003569097125246391 -0.020188633124018862 0.027604025311731423 -0.0021565678418769144 0.009102427411227108 0.014397237733185127 0.002919016731367811 -0.00028750623317807687 -0.013056373633279529 -0.009592509794143902 0.011275705446393496 -0.006856088700008629 -0.0004016697244831306 -0.008559312110732752 -0.0041171147494117495 -0.01012299253627626 0.011861408526680915 -0.010814130564353139
贵宾室|-0.0091085149802153 -0.005520029036502646 0.0003569097125246391 -0.020188633124018862 0.027604025311731426 -0.0021565678418769144 0.009102427411227108 0.014397237733185127 0.002919016731367811 -0.000287506233178077 -0.013056373633279529 -0.009592509794143902 0.011275705446393492 -0.006856088700008629 -0.00040166972448313056 -0.008559312110732752 -0.004117114749411751 -0.01012299253627626 0.011861408526680911 -0.010814130564353139
差额|-0.0091085149802153 -0.005520029036502646 0.0003569097125246391 -0.020188633124018862 0.02760402531173143 -0.0021565678418769144 0.009102427411227108 0.014397237733185131 0.002919016731367811 -0.00028750623317807687 -0.013056373633279529 -0.009592509794143902 0.011275705446393496 -0.006856088700008629 -0.0004016697244831304 -0.008559312110732752 -0.0041171147494117495 -0.01012299253627626 0.011861408526680911 -0.010814130564353139
乘降|-0.0091085149802153 -0.005520029036502649 0.0003569097125246391 -0.020188633124018862 0.02760402531173143 -0.0021565678418769135 0.009102427411227108 0.014397237733185134 0.002919016731367809 -0.000287506233178077 -0.013056373633279529 -0.009592509794143896 0.011275705446393496 -0.0068560887000086255 -0.0004016697244831306 -0.008559312110732745 -0.0041171147494117495 -0.010122992536276253 0.011861408526680911 -0.010814130564353139
哪里|-0.009108514980215292 -0.005520029036502646 0.0003569097125246391 -0.020188633124018862 0.027604025311731423 -0.0021565678418769144 0.009102427411227108 0.014397237733185133 0.002919016731367809 -0.000287506233178077 -0.013056373633279529 -0.009592509794143902 0.011275705446393492 -0.006856088700008629 -0.0004016697244831305 -0.008559312110732752 -0.004117114749411751 -0.010122992536276253 0.011861408526680911 -0.010814130564353139
和|-0.0091085149802153 -0.005520029036502646 0.0003569097125246391 -0.020188633124018862 0.02760402531173143 -0.0021565678418769144 0.009102427411227108 0.014397237733185131 0.00291901673136781 -0.00028750623317807687 -0.013056373633279529 -0.009592509794143902 0.011275705446393496 -0.006856088700008629 -0.0004016697244831305 -0.008559312110732752 -0.0041171147494117495 -0.010122992536276257 0.011861408526680911 -0.010814130564353139
验证|-0.009108514980215294 -0.005520029036502646 0.0003569097125246392 -0.020188633124018862 0.02760402531173143 -0.0021565678418769144 0.009102427411227108 0.014397237733185127 0.002919016731367811 -0.00028750623317807687 -0.013056373633279533 -0.009592509794143902 0.011275705446393496 -0.006856088700008629 -0.0004016697244831305 -0.008559312110732752 -0.0041171147494117495 -0.01012299253627626 0.011861408526680915 -0.010814130564353139
进出|-0.009108514980215296 -0.005520029036502649 0.0003569097125246393 -0.020188633124018876 0.027604025311731437 -0.0021565678418769135 0.0091024274112271 0.014397237733185134 0.002919016731367809 -0.00028750623317807676 -0.013056373633279536 -0.009592509794143896 0.011275705446393499 -0.0068560887000086255 -0.0004016697244831304 -0.008559312110732745 -0.004117114749411748 -0.010122992536276257 0.011861408526680918 -0.010814130564353146
能否|-0.0091085149802153 -0.005520029036502646 0.0003569097125246392 -0.020188633124018862 0.02760402531173143 -0.0021565678418769144 0.009102427411227108 0.014397237733185131 0.00291901673136781 -0.00028750623317807687 -0.013056373633279533 -0.009592509794143902 0.011275705446393496 -0.006856088700008629 -0.0004016697244831305 -0.008559312110732745 -0.0041171147494117495 -0.010122992536276257 0.011861408526680915 -0.010814130564353139
发站|-0.0091085149802153 -0.005520029036502647 0.0003569097125246393 -0.020188633124018876 0.027604025311731437 -0.0021565678418769135 0.009102427411227104 0.014397237733185127 0.002919016731367811 -0.00028750623317807676 -0.013056373633279536 -0.009592509794143896 0.011275705446393499 -0.0068560887000086255 -0.0004016697244831304 -0.008559312110732745 -0.004117114749411748 -0.01012299253627626 0.011861408526680918 -0.010814130564353146
调整|-0.009108514980215294 -0.005520029036502646 0.0003569097125246393 -0.02018863312401887 0.027604025311731437 -0.0021565678418769144 0.009102427411227108 0.014397237733185127 0.002919016731367811 -0.00028750623317807687 -0.013056373633279533 -0.009592509794143899 0.011275705446393499 -0.006856088700008629 -0.0004016697244831304 -0.008559312110732745 -0.004117114749411748 -0.01012299253627626 0.011861408526680915 -0.010814130564353142
责任|-0.0091085149802153 -0.005520029036502649 0.0003569097125246391 -0.020188633124018876 0.02760402531173143 -0.0021565678418769135 0.0091024274112271 0.014397237733185134 0.002919016731367809 -0.000287506233178077 -0.013056373633279536 -0.009592509794143896 0.011275705446393496 -0.0068560887000086255 -0.0004016697244831306 -0.008559312110732745 -0.0041171147494117495 -0.010122992536276253 0.011861408526680915 -0.010814130564353142
取票|-0.0091085149802153 -0.005520029036502646 0.0003569097125246391 -0.020188633124018862 0.02760402531173143 -0.0021565678418769144 0.009102427411227108 0.014397237733185134 0.0029190167313678096 -0.000287506233178077 -0.013056373633279529 -0.009592509794143902 0.011275705446393496 -0.006856088700008629 -0.0004016697244831305 -0.00855931211073275 -0.0041171147494117495 -0.01012299253627626 0.011861408526680911 -0.010814130564353139
旅客|-0.0091085149802153 -0.005520029036502646 0.0003569097125246391 -0.020188633124018862 0.02760402531173143 -0.0021565678418769144 0.009102427411227108 0.014397237733185127 0.002919016731367811 -0.00028750623317807687 -0.013056373633279533 -0.009592509794143902 0.011275705446393496 -0.006856088700008629 -0.0004016697244831305 -0.008559312110732752 -0.0041171147494117495 -0.01012299253627626 0.011861408526680915 -0.010814130564353139
前|-0.0091085149802153 -0.005520029036502646 0.0003569097125246392 -0.020188633124018862 0.02760402531173143 -0.0021565678418769144 0.009102427411227108 0.014397237733185131 0.002919016731367809 -0.000287506233178077 -0.013056373633279529 -0.009592509794143902 0.011275705446393496 -0.006856088700008629 -0.0004016697244831305 -0.008559312110732752 -0.0041171147494117495 -0.01012299253627626 0.011861408526680911 -0.010814130564353139
产生|-0.0091085149802153 -0.005520029036502646 0.0003569097125246391 -0.020188633124018862 0.02760402531173143 -0.0021565678418769144 0.009102427411227108 0.014397237733185131 0.002919016731367811 -0.00028750623317807687 -0.013056373633279529 -0.009592509794143902 0.011275705446393496 -0.006856088700008629 -0.0004016697244831304 -0.008559312110732752 -0.0041171147494117495 -0.01012299253627626 0.011861408526680911 -0.010814130564353139
旅客列车|-0.0091085149802153 -0.005520029036502646 0.0003569097125246392 -0.020188633124018862 0.02760402531173143 -0.0021565678418769144 0.009102427411227108 0.014397237733185134 0.002919016731367809 -0.000287506233178077 -0.013056373633279529 -0.009592509794143902 0.011275705446393496 -0.006856088700008629 -0.0004016697244831304 -0.008559312110732749 -0.0041171147494117495 -0.010122992536276257 0.011861408526680911 -0.010814130564353139
时间|-0.009108514980215296 -0.005520029036502646 0.0003569097125246391 -0.020188633124018862 0.02760402531173143 -0.0021565678418769144 0.009102427411227108 0.014397237733185127 0.002919016731367811 -0.00028750623317807687 -0.013056373633279529 -0.009592509794143902 0.011275705446393496 -0.006856088700008629 -0.0004016697244831306 -0.008559312110732752 -0.0041171147494117495 -0.01012299253627626 0.011861408526680915 -0.010814130564353139
因误|-0.009108514980215292 -0.005520029036502646 0.0003569097125246392 -0.020188633124018862 0.02760402531173143 -0.0021565678418769144 0.009102427411227108 0.014397237733185127 0.002919016731367811 -0.00028750623317807687 -0.013056373633279529 -0.009592509794143902 0.011275705446393496 -0.006856088700008629 -0.0004016697244831305 -0.008559312110732752 -0.0041171147494117495 -0.01012299253627626 0.011861408526680915 -0.010814130564353139
纸质|-0.0091085149802153 -0.005520029036502646 0.0003569097125246393 -0.02018863312401887 0.027604025311731437 -0.0021565678418769144 0.009102427411227108 0.014397237733185127 0.002919016731367811 -0.00028750623317807687 -0.013056373633279533 -0.009592509794143899 0.011275705446393499 -0.006856088700008629 -0.0004016697244831304 -0.008559312110732745 -0.004117114749411748 -0.01012299253627626 0.011861408526680915 -0.010814130564353142
